filepath,label
/srv/scratch/z5208494/dataset/dev_segments/cFC3LxRavZQ_008960-010574.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/cFC3LxRavZQ_000437-001951.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/cFC3LxRavZQ_002003-006069.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/cFC3LxRavZQ_006115-008617.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/XDvJnNzjDNM_000307-009895.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/20ENFxOaGz4_208115-208637.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/20ENFxOaGz4_032695-033191.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/20ENFxOaGz4_140574-140882.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/eHicHlp_Ffo_165933-166249.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/eHicHlp_Ffo_072162-072562.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/eHicHlp_Ffo_094210-095108.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/eHicHlp_Ffo_025713-026069.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_031764-032080.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_000537-002105.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_003215-003978.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_004032-004512.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_005196-005764.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_006528-007070.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_007148-007717.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_007842-008440.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_008763-009291.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_010169-011449.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_011565-012747.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_013022-013481.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_013755-014879.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_016431-016927.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_017115-017465.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_017537-018947.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_019001-020517.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_020655-021111.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_021204-021716.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_021770-022848.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_022954-023534.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_023592-024020.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_024471-025301.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_027270-027856.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_029298-029988.wav,EGY
/srv/scratch/z5208494/dataset/dev_segments/TS60Otck0wA_030144-030512.wav,EGY
