id,label
jyJ5IooKDJ8_019628-020278 MOR
jyJ5IooKDJ8_001212-004808 MOR
jyJ5IooKDJ8_004917-007291 MOR
jyJ5IooKDJ8_007488-008216 MOR
jyJ5IooKDJ8_008304-008770 MOR
jyJ5IooKDJ8_008868-009908 MOR
jyJ5IooKDJ8_010101-011177 MOR
jyJ5IooKDJ8_013547-014116 MOR
jyJ5IooKDJ8_015732-016542 MOR
jyJ5IooKDJ8_016618-018424 MOR
jyJ5IooKDJ8_020406-023842 MOR
jyJ5IooKDJ8_018498-019586 MOR
jyJ5IooKDJ8_014291-015528 MOR
jyJ5IooKDJ8_011661-012821 MOR
Jv1wXBahI40_010144-015646 MOR
Jv1wXBahI40_015646-019838 MOR
ltdFlhyJwjc_005250-005752 MOR
ltdFlhyJwjc_003532-005110 MOR
ltdFlhyJwjc_005796-006840 MOR
ltdFlhyJwjc_007800-009402 MOR
ltdFlhyJwjc_000927-002435 MOR
ltdFlhyJwjc_002526-003136 MOR
Tm3k3Xnny2M_000833-003593 MOR
Tm3k3Xnny2M_003639-005063 MOR
Tm3k3Xnny2M_005352-007309 MOR
Tm3k3Xnny2M_007350-008504 MOR
_FBO2f3kW5Q_012777-013119 MOR
_FBO2f3kW5Q_000136-000568 MOR
_FBO2f3kW5Q_001221-001832 MOR
_FBO2f3kW5Q_001917-002433 MOR
_FBO2f3kW5Q_002700-003114 MOR
_FBO2f3kW5Q_003497-004038 MOR
_FBO2f3kW5Q_004242-005026 MOR
_FBO2f3kW5Q_005659-006243 MOR
_FBO2f3kW5Q_006473-007902 MOR
_FBO2f3kW5Q_007992-009262 MOR
_FBO2f3kW5Q_009363-010989 MOR
_FBO2f3kW5Q_013671-014093 MOR
_FBO2f3kW5Q_014259-014701 MOR
_FBO2f3kW5Q_014744-015729 MOR
_FBO2f3kW5Q_015828-016858 MOR
_FBO2f3kW5Q_017686-018230 MOR
_FBO2f3kW5Q_018333-019059 MOR
_FBO2f3kW5Q_019176-019772 MOR
_FBO2f3kW5Q_020056-021560 MOR
_FBO2f3kW5Q_021657-023227 MOR
_FBO2f3kW5Q_023313-023691 MOR
_FBO2f3kW5Q_023775-026149 MOR
_FBO2f3kW5Q_026641-027099 MOR
_FBO2f3kW5Q_027227-027836 MOR
_FBO2f3kW5Q_027998-029630 MOR
_FBO2f3kW5Q_030063-030847 MOR
_FBO2f3kW5Q_011838-012628 MOR
_FBO2f3kW5Q_011180-011570 MOR
9QX39jitPiQ_000027-001451 MOR
9QX39jitPiQ_002253-003081 MOR
9QX39jitPiQ_003156-003574 MOR
9QX39jitPiQ_005136-005500 MOR
