file,dialect,prediction
2XwBQJ7eHKs_055962-056391.wav,DZA
,(tensor([[ -8.1359,  -8.7462,  -6.3725,  -3.9163, -10.5478,  -8.6988,  -7.6108,
          -9.6019,  -6.6248,  -9.8668,  -8.9981,  -6.4599,  -7.3851,  -7.8388,
         -10.3921,  -3.9009,  -4.3000,  -5.7506,  -6.2138,  -7.1204,  -3.9054,
          -9.4383, -10.4024,  -4.6339,  -3.6561,  -8.2402,  -6.5917,  -5.7449,
          -6.9489,  -7.5022, -14.5910, -10.2362,  -8.3917, -11.0947,  -8.0119,
         -10.5929,  -8.4530, -10.6952,  -4.6706,  -4.7202,  -8.9489, -11.3091,
          -7.2425,  -7.5371,  -2.3354, -10.4236, -12.8051,  -7.5393,  -9.3050,
          -9.8817, -10.0233,  -7.9272,  -8.5224,  -2.5218,  -9.5966, -14.5570,
         -11.4226,  -7.5675,  -7.1696,  -2.6004,  -9.1111, -11.2314,  -6.6958,
          -9.5044,  -9.8217,  -3.9469, -12.2015, -11.1513,  -4.6946,  -1.9464,
          -1.4216,  -8.8423, -10.8242,  -7.2834, -10.2215,  -7.6983,  -7.5975,
         -11.1958, -14.6567,  -9.4636, -12.1585, -11.1696,  -6.9120,  -6.1353,
          -4.3400,  -4.5549,  -7.4801,  -7.9926, -12.6031,  -2.3629,  -7.9067,
         -10.5831, -10.4139, -10.9864,  -8.9486, -12.7837,  -4.7003,  -3.2816,
          -5.9985, -11.7712, -12.0330, -10.8219,  -9.1307, -12.3845,  -4.7311,
          -9.1606, -12.1012]]), tensor([-1.4216]), tensor([70]), ['no: Norwegian'])
2XwBQJ7eHKs_056439-057583.wav,DZA
,(tensor([[ -8.1359,  -8.7462,  -6.3725,  -3.9163, -10.5478,  -8.6988,  -7.6108,
          -9.6019,  -6.6248,  -9.8668,  -8.9981,  -6.4599,  -7.3851,  -7.8388,
         -10.3921,  -3.9009,  -4.3000,  -5.7506,  -6.2138,  -7.1204,  -3.9054,
          -9.4383, -10.4024,  -4.6339,  -3.6561,  -8.2402,  -6.5917,  -5.7449,
          -6.9489,  -7.5022, -14.5910, -10.2362,  -8.3917, -11.0947,  -8.0119,
         -10.5929,  -8.4530, -10.6952,  -4.6706,  -4.7202,  -8.9489, -11.3091,
